id,name,length,created_at,updated_at,network_id,end_node_id,start_node_id,is_default,edge_algorithm_id
1,Bistro in Mary Keyes Residence-Arthur Bourns Building (ABB)-2-8,219.11931022047654,2025-07-10 00:31:52.319556,2025-07-10 00:31:52.319589,1,9,3,0,1
2,Bistro in Mary Keyes Residence-David Braley Athletic Centre (DBAC)-2-6,549.7981148405175,2025-07-10 00:31:52.324547,2025-07-10 00:31:52.324567,1,7,3,0,1
3,Health Sciences Centre (HSC)-John Hodgins Engineering Building (JHE)-3-4,241.55829146946328,2025-07-10 00:31:52.328429,2025-07-10 00:31:52.328449,1,5,4,0,1
4,Phoenix Craft House and Grill-Burke Science Building (BSB)-1-7,88.86636958162973,2025-07-10 00:31:52.332235,2025-07-10 00:31:52.332255,1,8,2,0,1
5,McMaster Nuclear Reactor (MNR)-Bistro in Mary Keyes Residence-0-2,129.19478220067973,2025-07-10 00:31:52.336528,2025-07-10 00:31:52.336543,1,3,1,0,1
6,McMaster Nuclear Reactor (MNR)-John Hodgins Engineering Building (JHE)-0-4,127.11160950678129,2025-07-10 00:31:52.340396,2025-07-10 00:31:52.340416,1,5,1,0,1
7,McMaster Museum of Art-David Braley Athletic Centre (DBAC)-5-6,257.70761930100076,2025-07-10 00:31:52.344631,2025-07-10 00:31:52.344650,1,7,6,0,1
8,Health Sciences Centre (HSC)-McMaster Museum of Art-3-5,276.612550887164,2025-07-10 00:31:52.348132,2025-07-10 00:31:52.348147,1,6,4,0,1
9,McMaster Nuclear Reactor (MNR)-Burke Science Building (BSB)-0-7,155.66918657834657,2025-07-10 00:31:52.351340,2025-07-10 00:31:52.351354,1,8,1,0,1
10,Phoenix Craft House and Grill-David Braley Athletic Centre (DBAC)-1-6,407.4292983430889,2025-07-10 00:31:52.354696,2025-07-10 00:31:52.354724,1,7,2,0,1
11,John Hodgins Engineering Building (JHE)-Burke Science Building (BSB)-4-7,175.4303913740396,2025-07-10 00:31:52.358466,2025-07-10 00:31:52.358486,1,8,5,0,1
12,Health Sciences Centre (HSC)-Burke Science Building (BSB)-3-7,317.1275525470732,2025-07-10 00:31:52.362764,2025-07-10 00:31:52.362783,1,8,4,0,1
13,McMaster Nuclear Reactor (MNR)-Phoenix Craft House and Grill-0-1,202.61715956146054,2025-07-10 00:31:52.366470,2025-07-10 00:31:52.366484,1,2,1,0,1
14,Health Sciences Centre (HSC)-David Braley Athletic Centre (DBAC)-3-6,531.4439924298308,2025-07-10 00:31:52.370034,2025-07-10 00:31:52.370050,1,7,4,0,1
15,Health Sciences Centre (HSC)-Arthur Bourns Building (ABB)-3-8,407.91160274263683,2025-07-10 00:31:52.373444,2025-07-10 00:31:52.373461,1,9,4,0,1
16,Phoenix Craft House and Grill-McMaster Museum of Art-1-5,277.0892963939969,2025-07-10 00:31:52.377447,2025-07-10 00:31:52.377466,1,6,2,0,1
17,McMaster Museum of Art-Burke Science Building (BSB)-5-7,246.89290838078358,2025-07-10 00:31:52.381232,2025-07-10 00:31:52.381259,1,8,6,0,1
18,McMaster Nuclear Reactor (MNR)-Arthur Bourns Building (ABB)-0-8,117.37734827114254,2025-07-10 00:31:52.384932,2025-07-10 00:31:52.384948,1,9,1,0,1
