id,polyline,distance_meters,duration_seconds,edge_id,translation_id
1,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@Gx@GnCWx@OFGJSBw@?c@,347,103,1,1
2,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@Gx@GnCWx@OFGJSBw@KgEAkCGoGMWZa@XMf@Gf@CtBBb@@v@KPMG[?SD{@J[R_@Ne@Fg@@a@?cAG[AgCEWIKKGcA?m@E_@UUOq@QqBJq@FkGCwCGSEAjE[ACCEIKyBIQKMOGo@K[KuBu@WIS?_CBBnE,1987,427,2,1
3,qf`gGbtwfNzA@r@AHEj@?DCD@LAXe@NBxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?a@B?q@AaB?O?AB?jBCzA@,1447,344,3,1
4,sv`gGzoxfN,0,0,4,1
5,yn`gGruxfNKMW?aAFw@J@rA,126,39,5,1
6,yn`gGruxfNKMW?a@B?q@AaB?K?CvAErB@,222,55,6,1
7,sw`gGbxwfNXAXEb@FTAAY?cESEAjE[AGGIuBGSIOOIeAUuAe@{@]QCs@DwA?@bC@jA,640,148,7,1
8,ch`gGxswfNPOHMBO?[kGCwCGSEAjE[ACCEIKyBIQKMOGo@K[K]Mi@QDp@@|A@b@DHTVJJx@\XBF?,711,180,8,1
9,yn`gGruxfNKMW?aAFw@Jc@HKCc@?EqCAq@,218,59,9,1
10,sv`gGzoxfNDdD@\NAP?HD^GRG~BOJDDDBP?NGbB?z@BbBx@GnCWx@OFGJSBw@KgEEmHCmBMWZa@XMz@IfA?dBBv@KPMG[?SD{@J[R_@Ne@Fg@@qA?SG[CsCMWKGcA?m@E_@UUOq@QqBJq@FmAA}DAwCGSEAjE[ACCEIKyBIQKMOGo@Ky@YoBq@sCBBnE,2176,456,10,1
11,uj`gG`pxfNqBAuABCB@l@?rBkAHSF_@FIEQ?O@A]AcACaB,356,94,11,1
12,qf`gGbtwfNzA@r@AHEj@?DCD@LAXe@NBxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?aAFw@Jc@HEAMC[@A}@EeC,1443,348,12,1
13,yn`gGruxfNKMW?aAFw@Jc@HKCc@?EqCAq@,218,59,13,1
14,ch`gGxswfNPOHMBO?[kGCwCGSEAjE[ACCEIKyBIQKMOGo@K[KuBu@WIS?_CBBnE,762,178,14,1
15,qf`gGbtwfNzA@r@AHEj@?DCD@LAXe@NBxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@b@,906,206,15,1
16,sv`gGzoxfNDdD@\NAP?HD^GRG~BOJDDDBP?NGbB?z@BbBx@GnCWx@OFGJSBw@KgEEmHCmBMWZa@XMz@IfA?dBBv@KPMG[?SD{@J[R_@Ne@Fg@@qA?SG[CsCMWKGcA?m@E_@UUOq@QqBJq@FmAA}DAwCGSEAjE[ACCEIKyBIQKMOGo@Ky@Yi@QDp@@|A@b@DHTVJJx@\`@B,2125,458,16,1
17,sw`gGbxwfNXAXEb@FTAAY?cExABrDDnC@hDSp@PLJ^VVDxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?aAFw@Jc@HEAMC[@A}@EeC,1835,397,17,1
18,yn`gGruxfNB\GbB?z@BbBx@GnCWx@OFGJSBw@?c@,318,73,18,1
